protein,PCC
CD86,0.43066163676989966
CD274,0.19934129173071075
CD270,0.3609515032995733
CD155,0.6496089238799283
CD112,0.7827151784285692
CD47,0.6573030661479311
CD48,0.8184408295220896
CD40,0.38990257287716157
CD154,0.4103059011859258
CD52,0.508953051978032
CD3,0.12346077459759858
CD8,0.16334510680750827
CD56,0.23232357087036146
CD19,0.20379967498888887
CD33,0.6036001963510004
CD11c,0.47454588177224766
HLA-A-B-C,0.6630138756986191
CD45RA,0.7888587091012211
CD123,0.6268207656539302
CD7,0.11632340277089523
CD105,0.380097962129601
CD49f,0.7287538286268911
CD194,0.10084036413297243
CD4,0.31329290225086626
CD44,0.6941323421386629
CD14,0.1624454608567458
CD16,0.09027986631007207
CD25,0.1869177416561502
CD45RO,0.44335415960776686
CD279,0.2570403512841671
TIGIT,0.23630326806546278
Mouse-IgG1,0.26872852211438997
Mouse-IgG2a,0.17961141045118434
Mouse-IgG2b,0.16694651829269616
Rat-IgG2b,0.1315939024942092
CD20,0.11994773130109954
CD335,0.4323217058717583
CD31,0.7147158068273419
Podoplanin,0.4051474405558736
CD146,0.15031411797550118
IgM,0.11015412852917333
CD5,0.2771148995946469
CD195,0.2881196393080623
CD32,0.819541971118388
CD196,0.24156222996036525
CD185,0.17914034863863282
CD103,0.44188679417498833
CD69,0.32030037109519777
CD62L,0.7802735654078642
CD161,0.1453740591838629
CD152,0.4009763053794845
CD223,0.2053231270017429
KLRG1,0.5989640148056378
CD27,0.06478678767695442
CD107a,0.5290229364809692
CD95,0.5922090786244811
CD134,0.2502935824598948
HLA-DR,0.6611289513742693
CD1c,0.125610886652999
CD11b,0.16633990298026327
CD64,0.4437951068080824
CD141,0.4701765484635232
CD1d,0.43226123848553094
CD314,0.31188600921281723
CD35,0.4407138307016715
CD57,0.3572037299271438
CD272,0.5196054587434404
CD278,0.39449084245962995
CD58,0.6413378320554112
CD39,0.4270279364593012
CX3CR1,0.2726273203215212
CD24,0.23257293044951555
CD21,0.152636873505308
CD11a,0.7609738410799068
CD79b,0.19285757633986084
CD244,0.7341493049087064
CD169,0.19798268878072867
integrinB7,0.4763440474665645
CD268,0.0775490356712854
CD42b,0.4074692054748465
CD54,0.6713374145749833
CD62P,0.47895600504151914
CD119,0.4416291246650601
TCR,0.30178319687612254
Rat-IgG1,0.1687161632629973
Rat-IgG2a,0.17979050382825382
CD192,0.33894606926947496
CD122,0.13838853620205643
FceRIa,0.6859807219756986
CD41,0.8898974904099641
CD137,0.47476247739387156
CD163,0.18249158454052158
CD83,0.3409765526304202
CD124,0.42335576145689263
CD13,0.7498113522293359
CD2,0.18834497204373518
CD226,0.3601099333933549
CD29,0.7197172155617376
CD303,0.18273951107881944
CD49b,0.7812518481021637
CD81,0.7007142545101536
IgD,0.03613941857521196
CD18,0.5259880488223354
CD28,0.3762335232228115
CD38,0.7214630326078164
CD127,0.24894797589544426
CD45,0.7138185254766862
CD22,0.2551253379915365
CD71,0.7941072450469422
CD26,0.5559923716359089
CD115,0.70133931246141
CD63,0.6991685618696832
CD304,0.5736585346916645
CD36,0.7409136967719105
CD172a,0.2395527098517927
CD72,0.5011890889267216
CD158,0.5722460010684971
CD93,0.28369368752339547
CD49a,0.3213323587741596
CD49d,0.660546560056334
CD73,0.23811566604826057
CD9,0.6619440728387141
TCRVa7.2,0.11099666851643926
TCRVd2,0.0946184394144501
LOX-1,0.3438170812749501
CD158b,0.3183583417550721
CD158e1,0.15657107213250918
CD142,0.5539222758752773
CD319,0.2124029196958476
CD352,0.22778241808822222
CD94,0.13677297240089517
CD162,0.5588773998114889
CD85j,0.43974682065132215
CD23,0.22084547600175317
CD328,0.5065182733700434
HLA-E,0.33221100390711666
CD82,0.7378386220270107
CD101,0.6117569138058677
CD88,0.8058411295376752
CD224,0.5318766327852904
