protein,PC,coefficient
CD86,PC1,0.005730634
CD274,PC1,-0.032795426
CD270,PC1,0.048188284
CD155,PC1,0.643983
CD112,PC1,0.3329312
CD47,PC1,0.08067456
CD48,PC1,0.761057
CD40,PC1,-0.009922842
CD154,PC1,0.031452827
CD52,PC1,-0.1232226
CD3,PC1,-0.05160593
CD8,PC1,0.019828591
CD56,PC1,-0.049443517
CD19,PC1,0.0008275696
CD33,PC1,1.8328927
CD11c,PC1,0.029977342
HLA-A-B-C,PC1,0.25794277
CD45RA,PC1,0.14392847
CD123,PC1,-0.33123723
CD7,PC1,0.095677316
CD105,PC1,-0.02732028
CD49f,PC1,0.2741226
CD194,PC1,-0.020832954
CD4,PC1,-0.13589674
CD44,PC1,0.7213454
CD14,PC1,-0.02713081
CD16,PC1,-0.02230317
CD25,PC1,-0.08884473
CD45RO,PC1,-0.057592195
CD279,PC1,-0.043685045
TIGIT,PC1,-0.015866712
Mouse-IgG1,PC1,0.010053884
Mouse-IgG2a,PC1,-0.026734795
Mouse-IgG2b,PC1,-0.023660602
Rat-IgG2b,PC1,0.0050974777
CD20,PC1,-0.06570748
CD335,PC1,0.09522889
CD31,PC1,0.28262508
Podoplanin,PC1,0.053804338
CD146,PC1,0.015546052
IgM,PC1,0.004134311
CD5,PC1,0.01842304
CD195,PC1,-0.011431677
CD32,PC1,0.766472
CD196,PC1,-0.09208748
CD185,PC1,-0.04384011
CD103,PC1,0.14866893
CD69,PC1,-0.047142442
CD62L,PC1,-0.4215424
CD161,PC1,-0.026880268
CD152,PC1,0.020775389
CD223,PC1,-0.0646852
KLRG1,PC1,0.08365674
CD27,PC1,-0.04138377
CD107a,PC1,0.28560752
CD95,PC1,0.0405475
CD134,PC1,0.0033763025
HLA-DR,PC1,0.4322044
CD1c,PC1,-0.030819086
CD11b,PC1,-0.0043297783
CD64,PC1,-0.008996958
CD141,PC1,-0.013313791
CD1d,PC1,0.044446547
CD314,PC1,-0.008770552
CD35,PC1,-0.04101431
CD57,PC1,0.08835489
CD272,PC1,0.18141323
CD278,PC1,0.09052858
CD58,PC1,0.37078506
CD39,PC1,-0.065005034
CX3CR1,PC1,-0.06747916
CD24,PC1,-0.08286338
CD21,PC1,-0.0019322794
CD11a,PC1,0.0021552877
CD79b,PC1,-0.07500324
CD244,PC1,0.5103221
CD169,PC1,0.017768394
integrinB7,PC1,0.29367003
CD268,PC1,-0.017298048
CD42b,PC1,-0.013560118
CD54,PC1,-0.4322101
CD62P,PC1,-0.045798913
CD119,PC1,0.11308159
TCR,PC1,0.021307528
Rat-IgG1,PC1,-0.0556628
Rat-IgG2a,PC1,-0.061159544
CD192,PC1,-0.0008083775
CD122,PC1,-0.051510032
FceRIa,PC1,0.2673291
CD41,PC1,0.62418395
CD137,PC1,0.08723321
CD163,PC1,-0.06093241
CD83,PC1,-0.026736991
CD124,PC1,0.08287651
CD13,PC1,0.084328294
CD2,PC1,0.06402043
CD226,PC1,0.052900802
CD29,PC1,0.65681046
CD303,PC1,-0.03537207
CD49b,PC1,-0.35288212
CD81,PC1,0.36009645
IgD,PC1,-0.023196926
CD18,PC1,0.14744778
CD28,PC1,0.06506153
CD38,PC1,0.6047158
CD127,PC1,0.019873155
CD45,PC1,-0.17421603
CD22,PC1,-0.15005644
CD71,PC1,1.8264654
CD26,PC1,0.24790655
CD115,PC1,0.27875307
CD63,PC1,0.33411726
CD304,PC1,0.015160033
CD36,PC1,0.64269143
CD172a,PC1,-0.008706868
CD72,PC1,-0.34893814
CD158,PC1,0.3318216
CD93,PC1,0.0046627983
CD49a,PC1,-0.0277615
CD49d,PC1,1.5613943
CD73,PC1,0.0031526973
CD9,PC1,-0.38179964
TCRVa7.2,PC1,-0.011145742
TCRVd2,PC1,0.0011963903
LOX-1,PC1,0.03870819
CD158b,PC1,0.035850037
CD158e1,PC1,-0.019707711
CD142,PC1,0.15019827
CD319,PC1,-0.005719149
CD352,PC1,-0.029705705
CD94,PC1,-0.062681705
CD162,PC1,1.0881146
CD85j,PC1,0.1016676
CD23,PC1,-0.084925085
CD328,PC1,-0.043745212
HLA-E,PC1,0.040995196
CD82,PC1,0.42936152
CD101,PC1,-0.03535314
CD88,PC1,0.7783792
CD224,PC1,0.25706276
CD86,PC2,0.07786413
CD274,PC2,0.0030008312
CD270,PC2,0.0016216899
CD155,PC2,0.26679316
CD112,PC2,0.40184537
CD47,PC2,0.7152728
CD48,PC2,0.857225
CD40,PC2,0.0045443224
CD154,PC2,-0.03711514
CD52,PC2,0.08105812
CD3,PC2,0.026396316
CD8,PC2,0.0134621905
CD56,PC2,0.054094143
CD19,PC2,0.01370186
CD33,PC2,0.6964866
CD11c,PC2,0.08289126
HLA-A-B-C,PC2,0.49690175
CD45RA,PC2,0.47048518
CD123,PC2,0.4143673
CD7,PC2,0.028146828
CD105,PC2,-0.03616272
CD49f,PC2,0.016487684
CD194,PC2,0.03927572
CD4,PC2,0.1315344
CD44,PC2,0.23955934
CD14,PC2,0.016389651
CD16,PC2,0.029181438
CD25,PC2,0.051438347
CD45RO,PC2,0.035362486
CD279,PC2,-0.013373021
TIGIT,PC2,-0.008358822
Mouse-IgG1,PC2,0.008684111
Mouse-IgG2a,PC2,0.03065649
Mouse-IgG2b,PC2,0.031094838
Rat-IgG2b,PC2,0.03440532
CD20,PC2,0.0035847682
CD335,PC2,-0.019020192
CD31,PC2,0.94141805
Podoplanin,PC2,-0.0029395144
CD146,PC2,0.021545243
IgM,PC2,0.0111378655
CD5,PC2,-0.00017115833
CD195,PC2,0.034186404
CD32,PC2,0.15755671
CD196,PC2,0.051731914
CD185,PC2,0.008616194
CD103,PC2,-0.008339322
CD69,PC2,0.06850233
CD62L,PC2,0.8359838
CD161,PC2,0.008473432
CD152,PC2,-0.017957771
CD223,PC2,0.019040605
KLRG1,PC2,0.000891422
CD27,PC2,0.02547712
CD107a,PC2,-0.109672606
CD95,PC2,0.2603407
CD134,PC2,0.017856862
HLA-DR,PC2,0.0916445
CD1c,PC2,0.014908106
CD11b,PC2,0.024489198
CD64,PC2,0.10096418
CD141,PC2,-0.018016139
CD1d,PC2,-0.018156286
CD314,PC2,-0.0012000336
CD35,PC2,0.07026546
CD57,PC2,-0.0071803886
CD272,PC2,-0.023784123
CD278,PC2,-0.031081203
CD58,PC2,0.07886895
CD39,PC2,0.07272495
CX3CR1,PC2,-0.016169034
CD24,PC2,-0.016942713
CD21,PC2,0.02089457
CD11a,PC2,1.1389136
CD79b,PC2,0.029620852
CD244,PC2,0.29974988
CD169,PC2,0.01499107
integrinB7,PC2,0.17990048
CD268,PC2,0.024792284
CD42b,PC2,0.032349244
CD54,PC2,0.32834175
CD62P,PC2,0.037426546
CD119,PC2,0.030850329
TCR,PC2,0.00931241
Rat-IgG1,PC2,0.041164514
Rat-IgG2a,PC2,0.049033917
CD192,PC2,0.013886385
CD122,PC2,0.03274986
FceRIa,PC2,-0.04828492
CD41,PC2,-0.3487143
CD137,PC2,-0.03090607
CD163,PC2,-0.002214005
CD83,PC2,-0.012933156
CD124,PC2,-0.025531977
CD13,PC2,0.1948456
CD2,PC2,-0.01078895
CD226,PC2,0.0014284599
CD29,PC2,0.3533375
CD303,PC2,-0.002824475
CD49b,PC2,0.07607063
CD81,PC2,0.10744944
IgD,PC2,0.013203635
CD18,PC2,0.55119985
CD28,PC2,-0.025224017
CD38,PC2,0.3372393
CD127,PC2,0.036965225
CD45,PC2,0.44868904
CD22,PC2,0.08168478
CD71,PC2,-0.9889042
CD26,PC2,0.021391867
CD115,PC2,-0.06300824
CD63,PC2,-0.22929697
CD304,PC2,0.039488114
CD36,PC2,-0.27543312
CD172a,PC2,0.02410534
CD72,PC2,0.48693156
CD158,PC2,-0.2697675
CD93,PC2,0.051029984
