protein,intercept
CD86,0.3508688
CD274,0.47664842
CD270,0.9366571
CD155,5.8020773
CD112,5.589113
CD47,7.7173586
CD48,3.9362783
CD40,0.4020714
CD154,0.7483469
CD52,0.8589127
CD3,0.13455307
CD8,0.4086143
CD56,0.5417117
CD19,0.527612
CD33,7.372082
CD11c,0.83368915
HLA-A-B-C,6.365105
CD45RA,2.4186118
CD123,3.2567172
CD7,0.48123607
CD105,0.6777213
CD49f,4.023905
CD194,0.22745898
CD4,0.71687734
CD44,11.84685
CD14,0.3312122
CD16,0.19372265
CD25,0.23186155
CD45RO,0.42759994
CD279,0.49774313
TIGIT,0.4154862
Mouse-IgG1,0.55819994
Mouse-IgG2a,0.43945602
Mouse-IgG2b,0.41660678
Rat-IgG2b,0.44983548
CD20,0.30649126
CD335,0.8608719
CD31,14.159787
Podoplanin,0.79583895
CD146,0.6250193
IgM,0.30293003
CD5,0.5349607
CD195,0.39068425
CD32,2.655615
CD196,0.13925606
CD185,0.4617004
CD103,1.0294358
CD69,0.6871402
CD62L,7.365693
CD161,0.3281193
CD152,0.6677842
CD223,0.51261574
KLRG1,1.1305788
CD27,0.1806398
CD107a,1.8290473
CD95,1.6460425
CD134,0.48900843
HLA-DR,5.2758427
CD1c,0.3170464
CD11b,0.41272572
CD64,0.28288957
CD141,0.70982486
CD1d,0.78972995
CD314,0.5888768
CD35,0.28376487
CD57,0.7351379
CD272,1.1643907
CD278,0.8687953
CD58,3.2442906
CD39,0.27636504
CX3CR1,0.46143994
CD24,0.33830324
CD21,0.3937327
CD11a,7.6604953
CD79b,0.27258652
CD244,10.679385
CD169,0.48800528
integrinB7,1.9380413
CD268,0.34586024
CD42b,0.34004393
CD54,2.78344
CD62P,0.25302958
CD119,1.0843837
TCR,0.6352341
Rat-IgG1,0.22476816
Rat-IgG2a,0.27382743
CD192,0.64632064
CD122,0.39232796
FceRIa,1.5011817
CD41,2.1016812
CD137,0.99568814
CD163,0.37827513
CD83,0.59294033
CD124,0.9137182
CD13,3.2037492
CD2,0.5287872
CD226,0.7358243
CD29,8.959866
CD303,0.44158694
CD49b,6.9759054
CD81,4.6036887
IgD,0.1780286
CD18,3.2843301
CD28,0.7603713
CD38,3.2600057
CD127,0.61896217
CD45,7.1601586
CD22,0.7298059
CD71,10.804029
CD26,1.4382526
CD115,1.588128
CD63,4.03604
CD304,0.73223543
CD36,2.6655486
CD172a,0.4100944
CD72,2.2483974
CD158,2.0800004
CD93,0.4932584
CD49a,0.38955203
CD49d,10.174049
CD73,0.56431943
CD9,4.6752257
TCRVa7.2,0.36656964
TCRVd2,0.28908908
LOX-1,0.74289125
CD158b,0.7098707
CD158e1,0.36611587
CD142,0.8750371
CD319,0.53048927
CD352,0.42929202
CD94,0.28637376
CD162,7.465256
CD85j,0.8671566
CD23,0.2741408
CD328,0.20615208
HLA-E,0.8283667
CD82,5.373545
CD101,0.60371935
CD88,3.5873966
CD224,3.3365178
