protein,ridge_pcc,mlp_pcc,pcc_difference,better_model
CD304,0.5736585346916645,0.6334406760624424,0.059782141370777864,MLP higher
CD328,0.5065182733700434,0.560791779522783,0.054273506152739626,MLP higher
CD14,0.1624454608567458,0.2041916847314524,0.04174622387470661,MLP higher
CD101,0.6117569138058677,0.6532257376351698,0.04146882382930206,MLP higher
CD11c,0.4745458817722476,0.5140316881857165,0.03948580641346894,MLP higher
CD1c,0.125610886652999,0.1640289988463265,0.0384181121933275,MLP higher
CD195,0.2881196393080623,0.319117534852405,0.030997895544342735,MLP higher
CD42b,0.4074692054748465,0.4371215810642322,0.029652375589385715,MLP higher
CD172a,0.2395527098517927,0.2642078759834833,0.02465516613169058,MLP higher
CD40,0.3899025728771615,0.4112069463874069,0.02130437351024539,MLP higher
CD39,0.4270279364593012,0.4470786129124189,0.0200506764531177,MLP higher
CD127,0.2489479758954442,0.2683450714882878,0.019397095592843583,MLP higher
CD62P,0.4789560050415191,0.4967873140569424,0.01783130901542329,MLP higher
CD196,0.2415622299603652,0.2592040804511711,0.01764185049080591,MLP higher
CD274,0.1993412917307107,0.2164093097935574,0.017068018062846718,MLP higher
CD41,0.8898974904099641,0.9061972254509236,0.016299735040959495,MLP higher
CD93,0.2836936875233954,0.2992997000352906,0.015606012511895195,MLP higher
CD22,0.2551253379915365,0.2689305200210529,0.01380518202951636,MLP higher
CD141,0.4701765484635232,0.4827822122612025,0.0126056637976793,MLP higher
CD20,0.1199477313010995,0.130296003823564,0.010348272522464494,MLP higher
CD49f,0.7287538286268911,0.7386385144769196,0.009884685850028552,MLP higher
CD103,0.4418867941749883,0.4515911102801319,0.009704316105143607,MLP higher
CD272,0.5196054587434404,0.5289643174201744,0.009358858676733917,MLP higher
CD49a,0.3213323587741596,0.3306258496521381,0.009293490877978483,MLP higher
Mouse-IgG1,0.2687285221143899,0.2775048829095738,0.008776360795183902,MLP higher
CD36,0.7409136967719105,0.7491528635562277,0.008239166784317131,MLP higher
CD19,0.2037996749888888,0.211797042261187,0.007997367272298217,MLP higher
CD25,0.1869177416561502,0.194858521632186,0.007940779976035817,MLP higher
CD85j,0.4397468206513221,0.4476414217287871,0.007894601077465035,MLP higher
CD95,0.5922090786244811,0.6000050235730711,0.007795944948589928,MLP higher
CD28,0.3762335232228115,0.3836020083958731,0.007368485173061601,MLP higher
IgM,0.1101541285291733,0.1175103085762493,0.007356180047076,MLP higher
CD192,0.3389460692694749,0.3459288473903301,0.006982778120855182,MLP higher
CD226,0.3601099333933549,0.3668963541627936,0.006786420769438695,MLP higher
CD2,0.1883449720437351,0.1947369716878647,0.006391999644129592,MLP higher
CD146,0.1503141179755011,0.1566112654549312,0.00629714747943011,MLP higher
CD105,0.380097962129601,0.3863165741023423,0.006218611972741317,MLP higher
CD335,0.4323217058717583,0.4383504488346987,0.0060287429629404254,MLP higher
LOX-1,0.3438170812749501,0.3496782949312648,0.005861213656314701,MLP higher
CD57,0.3572037299271438,0.362875960595871,0.005672230668727241,MLP higher
CD79b,0.1928575763398608,0.1984626917132394,0.0056051153733786,MLP higher
CD1d,0.4322612384855309,0.4373760885108266,0.005114850025295714,MLP higher
CD29,0.7197172155617376,0.7245376405402055,0.004820424978467908,MLP higher
CD137,0.4747624773938715,0.4794870729756371,0.004724595581765578,MLP higher
CD352,0.2277824180882222,0.2322414665162862,0.004459048428063994,MLP higher
CD154,0.4103059011859258,0.4146086630157485,0.004302761829822699,MLP higher
CD13,0.7498113522293359,0.754103204341644,0.004291852112308092,MLP higher
Rat-IgG2b,0.1315939024942092,0.1356899634902665,0.004096060996057305,MLP higher
CD49b,0.7812518481021637,0.7850582838054895,0.003806435703325728,MLP higher
Podoplanin,0.4051474405558736,0.4088244180198595,0.003676977463985931,MLP higher
CD169,0.1979826887807286,0.201574430139574,0.0035917413588453795,MLP higher
CD73,0.2381156660482605,0.2415393365101704,0.003423670461909889,MLP higher
CD223,0.2053231270017429,0.2085498825822731,0.003226755580530205,MLP higher
TCRVd2,0.0946184394144501,0.0978412001648018,0.0032227607503517025,MLP higher
